"marketName","action","usdcAmount","tokenAmount","tokenName","timestamp","hash"
"Will the price of Ethereum be above $2,900 on January 23?","Buy","4.25","5","Yes","1769174374","0xb0988084c8cc4babde66aec936df86832fd76bf5dbd10e1842f1a9720411ed46"
"Will the price of Ethereum be above $3,000 on January 23?","Buy","4.685","5","No","1769174302","0xdb066a9741c2bc90f2e296a872764bdd82ba0b17e870837b904ac5081f2033d1"
"Will the price of Ethereum be between $2,900 and $3,000 on January 23?","Buy","0.955","5","No","1769174302","0x2d7a19e448a52d6df4f4c2e15606d1a537d98a64b84766a828337afffa351865"
"Will the price of Bitcoin be above $88,000 on January 23?","Buy","4.5","5","Yes","1769168096","0xf69588e805fe304975cb4cd9f72b4fb7fd5a6de2cc091fa1b13743087ff99519"
"Will the price of Bitcoin be above $86,000 on January 23?","Sell","4.955","5","Yes","1769168084","0xfa2d3574900081c0b2375dbac0cad9aa02766aa615c72ff5ed0ff3eb06f2e1dd"
"Will the price of Bitcoin be between $86,000 and $88,000 on January 23?","Buy","0.4","5","Yes","1769168082","0x35f0195336a343aa4141d866edf6d6d1c0ce4ac22c247ccdcba2e33db6069d12"
"Will the price of Bitcoin be between $88,000 and $90,000 on January 23?","Split","5","5","","1769166466","0x5d069470b1db47cb62b5eebc379b57c9a02a4caada1e41f7e7a49b59e8eba68b"
"Will the price of Bitcoin be between $86,000 and $88,000 on January 23?","Split","5","5","","1769166390","0x4219a00e5c6d68aeb1d87a287ee58fe6d6bb332713f85f06ad132b8e140df521"
"Will the price of Bitcoin be above $90,000 on January 23?","Split","5","5","","1769166350","0xef16bcdc02c66f33de8598de2d4cca446b60a32be5eafd644189fcbc484acc99"
"Will the price of Bitcoin be above $88,000 on January 23?","Buy","4.3","5","Yes","1769166262","0xe754ab02415ba61a77dd264d3643f4c832feb17e8fd7231f5382ee80d0eeb786"
"Will the price of Bitcoin be between $88,000 and $90,000 on January 23?","Sell","3.55","5","Yes","1769166246","0x7a094a934728cbc07f805e647946a6466039e0a588b21a99adaee673ff09b657"
"Will the price of Bitcoin be above $90,000 on January 23?","Sell","0.85","5","Yes","1769166246","0xe51951b53116d471b1bef29c79d77125cbfba745e9a842db6f6bed84ac6ad062"
"Will the price of Ethereum be above $3,000 on January 23?","Sell","0.235","5","Yes","1769162944","0x90c88ed9780305e07c4f240f10e562c85899e7a8464437e16c548572bff8f30e"
"Will the price of Ethereum be between $2,900 and $3,000 on January 23?","Split","5","5","","1769161970","0x53c474a6b14329d6875683ab4dddc6d877159ca3a67ac92f67e7452d57c31287"
"Will the price of Bitcoin be above $86,000 on January 23?","Split","5","5","","1769161888","0x579d4fcf63803622daaff27db9dee8243a25d1161434ac82268c3abd87beff75"
"Will the price of Ethereum be above $3,000 on January 23?","Split","5","5","","1769161742","0xe546619cf15406e68c8df7be1d5f52a9c3669a966e02a9797de307aa470ce859"
"Will the price of Ethereum be between $2,800 and $2,900 on January 23?","Buy","3.515","5","No","1769161564","0x11199688d1d96ed1c207fc02e76650e2bf9a5c03c7fdc6941318e1c963aa4643"
"Will the price of Ethereum be between $2,800 and $2,900 on January 23?","Buy","3.515","5","No","1769161564","0x11199688d1d96ed1c207fc02e76650e2bf9a5c03c7fdc6941318e1c963aa4643"
"Will the price of Bitcoin be above $88,000 on January 23?","Buy","4.265","5","Yes","1769161040","0x18c399802c74549b001d62b5bc3ca901fb45d67844dddbddded0cc01d2b45f51"
"Will the price of Bitcoin be above $86,000 on January 23?","Sell","4.955","5","Yes","1769160982","0xd383fa0aeb5d375495233ea9fa4e518d4d5883a4765489e16c9f0d07877bbc6c"
"Will the price of Bitcoin be between $86,000 and $88,000 on January 23?","Buy","0.73","5","Yes","1769160982","0xaedcafa2448c32c4b048f8fd7b71962f7463c20ac1ea31e0231ab459b9e10a77"
"Will the price of Ethereum be above $2,900 on January 23?","Buy","1.59","5","No","1769160974","0x5252d7e73104a21a15447db8a7acecbf4246e435cf33d79dca305cae94fad68e"
"Will the price of Ethereum be above $2,800 on January 23?","Buy","4.895","5","Yes","1769160972","0x3caacc500c1f0f6c491553aed5e1eaeb4ba02514c49f273dea2da9ba3677b2f1"
"Will the price of Ethereum be above $2,900 on January 23?","Buy","1.54","5","No","1769160958","0xbceea73f691c161663de9d0491d6035a7b5a34750af9bb566e43d7502d1dd888"
"Will the price of Ethereum be above $2,800 on January 23?","Buy","4.895","5","Yes","1769160958","0x7031abb4c9e51f61ad8d4ab3596ad5971d540db5a4e9740b31d2c43184053284"
"Will the price of Ethereum be between $2,900 and $3,000 on January 23?","Sell","3.16","5","Yes","1769160922","0xb7e6b936c0d30135ec8ca8bc152e786f75e85e86b13a4d1de7e0f6ba103229b4"
"Will the price of Ethereum be above $2,900 on January 23?","Buy","3.31","5","Yes","1769160920","0xc0f5c3b0a572106345eb4cde862513a6993c3e7671f9643906c5dac1044f90b8"
"Will the price of Bitcoin be above $86,000 on January 23?","Split","5","5","","1769160698","0xaaff4f02d96bfcf5aac848feaeaca87da417332ccfcbeb1bdc576de40d0f30e0"
"Will the price of Ethereum be above $2,800 on January 23?","Split","5","5","","1769160680","0xa9fb416fefd78d8b817770b6e59ea115c107ec96087e402cdcfe18b7908d5a4a"
"Will the price of Ethereum be between $2,800 and $2,900 on January 23?","Buy","1.23","5","Yes","1769160018","0x9009aeb761831909f9d8e90f1fcafd7b0016fb71ea4673ada8b0761ea79a1ea2"
